table_name,excel_column,db_column,excel_type,db_type,match_status
tb_course_offering,ins_user_id,ins_user_id,str,character varying(50),exact
tb_course_offering,ins_dt,ins_dt,date,timestamp without time zone,exact
tb_course_offering,upd_user_id,upd_user_id,str,character varying(50),exact
tb_course_offering,upd_dt,upd_dt,date,timestamp without time zone,exact
tb_course_offering,col_14,,str,,missing_in_db
tb_cumulative_summary,summary_id,summary_id,int,uuid,exact
tb_cumulative_summary,student_id,student_id,int,character varying(20),exact
tb_cumulative_summary,total_credits_required,total_credits_required,int,integer,exact
tb_cumulative_summary,total_credits_earned,total_credits_earned,float,integer,exact
tb_cumulative_summary,major_credits_required,major_credits_required,str,integer,exact
tb_cumulative_summary,major_credits_earned,major_credits_earned,str,integer,exact
tb_cumulative_summary,liberal_credits_required,liberal_credits_required,str,integer,exact
tb_cumulative_summary,liberal_credits_earned,liberal_credits_earned,str,integer,exact
tb_cumulative_summary,cumulative_gpa,cumulative_gpa,float,numeric,exact
tb_cumulative_summary,major_gpa,major_gpa,str,numeric,exact
tb_cumulative_summary,completion_rate,completion_rate,str,numeric,exact
tb_cumulative_summary,ins_user_id,ins_user_id,str,character varying(50),exact
tb_cumulative_summary,ins_dt,ins_dt,str,timestamp without time zone,exact
tb_cumulative_summary,upd_user_id,upd_user_id,str,character varying(50),exact
tb_cumulative_summary,upd_dt,upd_dt,str,timestamp without time zone,exact
tb_cumulative_summary,col_15,,str,,missing_in_db
tb_department,department_cd,department_cd,int,character varying(20),exact
tb_department,college_cd,college_cd,int,character varying(20),exact
tb_department,department_nm,department_nm,str,character varying(100),exact
tb_department,department_nm_en,department_nm_en,str,character varying(100),exact
tb_department,dept_type,dept_type,str,character varying(20),exact
tb_department,graduation_credits,graduation_credits,int,integer,exact
tb_department,use_fg,use_fg,int,character(1),exact
tb_department,sort_order,sort_order,int,integer,exact
tb_department,ins_user_id,ins_user_id,int,character varying(50),exact
tb_department,ins_dt,ins_dt,date,timestamp without time zone,exact
tb_department,upd_user_id,upd_user_id,str,character varying(50),exact
tb_department,upd_dt,upd_dt,date,timestamp without time zone,exact
tb_department,col_12,,str,,missing_in_db
tb_department,,ins_user_ip,,character varying(50),missing_in_excel
tb_department,,ins_system_gcd,,character varying(10),missing_in_excel
tb_department,,ins_menu_cd,,character varying(20),missing_in_excel
tb_department,,upd_user_ip,,character varying(50),missing_in_excel
tb_department,,upd_system_gcd,,character varying(10),missing_in_excel
tb_department,,upd_menu_cd,,character varying(20),missing_in_excel
tb_enrollment,enrollment_id,enrollment_id,str,uuid,exact
tb_enrollment,student_id,student_id,int,character varying(20),exact
tb_enrollment,offering_id,,str,,missing_in_db
tb_enrollment,term_cd,term_cd,int,character varying(10),exact
tb_enrollment,status,,str,,missing_in_db
tb_enrollment,ins_user_id,ins_user_id,str,character varying(50),exact
tb_enrollment,ins_dt,ins_dt,str,timestamp without time zone,exact
tb_enrollment,upd_user_id,upd_user_id,str,character varying(50),exact
tb_enrollment,upd_dt,upd_dt,date,timestamp without time zone,exact
tb_enrollment,col_9,,str,,missing_in_db
tb_enrollment,,course_offering_id,,uuid,missing_in_excel
tb_enrollment,,status_cd,,character varying(20),missing_in_excel
tb_grade,grade_id,grade_id,str,uuid,exact
tb_grade,enrollment_id,enrollment_id,str,uuid,exact
tb_grade,student_id,student_id,int,character varying(20),exact
tb_grade,course_cd,course_cd,str,character varying(20),exact
tb_grade,term_cd,term_cd,int,character varying(10),exact
tb_grade,grade_letter,grade_letter,str,character varying(5),exact
tb_grade,grade_point,grade_point,int,numeric,exact
tb_grade,credits_earned,credits_earned,int,integer,exact
tb_grade,is_retake,is_retake,int,character(1),exact
tb_grade,ins_user_id,ins_user_id,str,character varying(50),exact
tb_grade,ins_dt,ins_dt,str,timestamp without time zone,exact
tb_grade,upd_user_id,upd_user_id,str,character varying(50),exact
tb_grade,upd_dt,upd_dt,date,timestamp without time zone,exact
tb_grade,col_13,,str,,missing_in_db
tb_grade_summary,summary_id,summary_id,int,uuid,exact
tb_grade_summary,student_id,student_id,int,character varying(20),exact
tb_grade_summary,term_cd,term_cd,int,character varying(10),exact
tb_grade_summary,total_credits,total_credits,int,integer,exact
tb_grade_summary,earned_credits,earned_credits,int,integer,exact
tb_grade_summary,gpa,gpa,float,numeric,exact
tb_grade_summary,major_gpa,major_gpa,int,numeric,exact
tb_grade_summary,class_rank,class_rank,str,integer,exact
